ref,value,Field1,Item count,,
RP1,R_PACK4,,7,CAY16-1001F4LFCT-ND,x
C1,10uf,10V,3,478-3121-1-ND,x
C2,0.1uf,50V,18,1276-1936-1-ND,x
C3,2.2uf,10V,3,587-1286-1-ND,x
C23,1uf,,1,1276-1946-1-ND,x
"C25,C26",20pf,,2,1276-1187-1-ND,x
CON1,USB-MINI-B,,1,ED2992CT-ND,x
ref,Power LED,,1,732-4978-1-ND,x
F1..F8,FUSE,,8,507-1096-1-ND,x
cell connector,CONN_01X07,,1,455-2240-nd,x
Q1..Q6,FDN359AN,,6,FDN359ANCT-ND,x
R1,100k,,1,MCT0603-100K-CFCT-ND,x
R23,10,,6,CRM2512-JW-100ELFCT-ND,x
R25,1M 1%,,7,P1.0MGCT-ND,x
"R26,R27",22,,2,RHM22CGCT-ND,x
R28,10k,,1,P10KGCT-ND,x
R30,1k,,1,P1.0KGCT-ND,x
SW1,SW_PUSH,,1,ckn9104ct-nd,x
U1,BQ76PL536A,,1,296-28926-1-ND,
U2,ATMEGA32U4,,1,ATMEGA32U4-AURCT-ND,x
X1,16MHz,,1,SER3686CT-ND,x
Z1..Z1Z12,ZENER,5.1VDC,12,641-1029-1-ND,x
regulator,5v,,1,576-2397-1-ND,x
diode,,,1,641-1003-1-ND,x
